Year,N_y_C,N_m_C,N_o_C,psi_y_C,psi_o_C,n_m_C,psi_y_C_s,psi_o_C_s,n_m_C_s,gamma_C_path,phi_C_path
2080,NaN,NaN,NaN,0.100675904608094,0.840389410698787,-0.0109396038304798,0.100961347519788,0.836074744403647,-0.0108348083506557,0.964010310552928,0.0188456646994861
2081,NaN,NaN,NaN,0.100126429523811,0.842635070284326,-0.0112354034403525,0.100684082922597,0.839657140380072,-0.0109079912371161,0.963428417186751,0.0188167438125296
2082,NaN,NaN,NaN,0.0998293443310784,0.844628294816935,-0.0111630577775855,0.100461546988898,0.842734867154274,-0.0109225567102393,0.962928806167365,0.0188169837066357
2083,NaN,NaN,NaN,0.099769804861995,0.846030593624873,-0.0112773899237851,0.100304547938182,0.845368165913218,-0.010876958736964,0.96254843945663,0.0188443019180107
2084,NaN,NaN,NaN,0.0999339240341468,0.847299651168367,-0.0108668504486635,0.100217797681682,0.84763615674667,-0.0107724961456086,0.962308532917656,0.0188945634918892
2085,NaN,NaN,NaN,0.100076271389336,0.848548181700846,-0.0109105239495615,0.100200864951151,0.849625041618021,-0.0106137280003798,0.962213971209505,0.0189631220798111
2086,NaN,NaN,NaN,0.100216114374377,0.851430629792773,-0.0111914309221938,0.100250296876948,0.851418058762514,-0.0104070225310537,0.96225663297856,0.0190462978176841
2087,NaN,NaN,NaN,0.100346736504798,0.854605160538641,-0.0106001829938103,0.100361266127485,0.853090649489101,-0.010162225991802,0.962419508353488,0.019141134758715
2088,NaN,NaN,NaN,0.100064339661455,0.855270444863815,-0.00931129902022354,0.100528480971853,0.854719076546555,-0.00989570380601459,0.96268905329057,0.0192446679980991
2089,NaN,NaN,NaN,0.100514514079921,0.8552992347223,-0.0088619293185741,0.100745712907591,0.856390750804097,-0.00962710730888861,0.963060504597186,0.0193530383410369
2090,NaN,NaN,NaN,0.101038391330861,0.856112720256323,-0.00877394926438424,0.101003194217268,0.858197508161649,-0.00937160157277353,0.963526079969502,0.0194600621974131
2091,NaN,NaN,NaN,0.101583716856261,0.857607333370703,-0.00877110441393059,0.101288878160711,0.860221252728029,-0.0091372089611713,0.964068554756479,0.0195608251416999
2092,NaN,NaN,NaN,0.101954098239031,0.859739339821984,-0.00877641900857129,0.101591062153174,0.862523611529463,-0.00892602272685809,0.964664269266619,0.0196531554949807
2093,NaN,NaN,NaN,0.102251193460302,0.862502180002478,-0.00863589167050582,0.101900699481934,0.865140412371567,-0.00873641276534465,0.965286257094735,0.0197376031876429
2094,NaN,NaN,NaN,0.10250263413437,0.865853771870969,-0.0084724746191065,0.102212274540355,0.868079891749256,-0.00856495597464139,0.96590659012592,0.0198162713233022
2095,NaN,NaN,NaN,0.102684996921715,0.869733372723232,-0.00855187608873553,0.102523731943343,0.871324085280237,-0.00840714479239983,0.966499449542052,0.0198919804519533
2096,NaN,NaN,NaN,0.102803059476583,0.874058372425346,-0.0084607651774965,0.102835833136325,0.87483291844006,-0.00825792331414917,0.967043869808658,0.0199676371576648
2097,NaN,NaN,NaN,0.10287685735417,0.878729195012355,-0.00829870558720747,0.103150859170538,0.878550553209127,-0.00811339604904347,0.967524777338186,0.0200452888882283
2098,NaN,NaN,NaN,0.103277240934199,0.883569957728626,-0.00790586976667729,0.103470680606514,0.882413558546265,-0.00797158906901102,0.96793442012231,0.0201251675235972
2099,NaN,NaN,NaN,0.103807244537562,0.888465325992926,-0.00774658433338071,0.103794942044182,0.886360349235861,-0.00783200716772028,0.968274297637807,0.0202054748289083
2100,NaN,NaN,NaN,0.104351293697985,0.893339491707458,-0.00785221016746152,0.104121544888168,0.890340971737872,-0.00769388074404929,0.968557308796465,0.0202844925035665
