Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
2029,NaN,NaN,NaN,0.115750190838752,0.392443610037106,-0.00222004814726426,0.116687117704663,0.386055097548614,-0.00107440805227134,0.957077058266168,0.0232384107767998
2030,NaN,NaN,NaN,0.11729041893337,0.399871839780238,-0.00258122871416644,0.116814006273748,0.394914008426296,-0.0015149684931081,0.956639942047487,0.0232873425709593
2031,NaN,NaN,NaN,0.118092360121659,0.404627665525025,-0.00246386724929329,0.116962328936864,0.40339872508962,-0.00180323500929043,0.956338074435061,0.0233002133515585
2032,NaN,NaN,NaN,0.118608551640591,0.412380639673461,-0.00207254594490505,0.117063110494867,0.4115631551935,-0.00196767584543475,0.956258184079424,0.023262905090464
2033,NaN,NaN,NaN,0.11854490792777,0.420555092276984,-0.00182460127035086,0.117058389180508,0.419479204839947,-0.00204317954797656,0.956407609720923,0.0231687294779211
2034,NaN,NaN,NaN,0.117879186832946,0.428086472737959,-0.00149068337090602,0.116905015203833,0.427228165258568,-0.00206608505789727,0.956770850376597,0.0230167681543205
2035,NaN,NaN,NaN,0.117382808297826,0.433150069080635,-0.00121621524735044,0.116574090774492,0.434901393910803,-0.00207046726786508,0.957336098294046,0.0228087157721961
2036,NaN,NaN,NaN,0.117791655721351,0.440783755618655,-0.00174364599300145,0.116047142214572,0.442594891006446,-0.00208472020010022,0.958084315963729,0.0225459437734398
2037,NaN,NaN,NaN,0.116874726436883,0.448700986779549,-0.00187799867957608,0.11531571866641,0.450391259234706,-0.00212994244925367,0.95896260982079,0.0222323890504987
2038,NaN,NaN,NaN,0.115499091491071,0.455226552844608,-0.00166701026141539,0.114387102907564,0.458355111152071,-0.0022230735314939,0.959912398768702,0.0218802370336178
2039,NaN,NaN,NaN,0.113902589370324,0.461440552493674,-0.00175783769344912,0.113283885010494,0.466531361026279,-0.00237784603949464,0.960875117482962,0.0215048310471322
2040,NaN,NaN,NaN,0.112256311387185,0.471753443846036,-0.00214247470876983,0.112039809368308,0.4749324394311,-0.00260278009926962,0.961770916626498,0.0211210863737629
2041,NaN,NaN,NaN,0.111378104332361,0.484823486765395,-0.00237232019498412,0.110695023249604,0.48352587662377,-0.00290050963810403,0.962501962817947,0.0207421037731322
2042,NaN,NaN,NaN,0.109901726480486,0.49412748691631,-0.00268453625202705,0.109293323407018,0.492251409627966,-0.00326863589077265,0.963014476607811,0.0203800647278251
2043,NaN,NaN,NaN,0.107619635627406,0.504568765229554,-0.00337278797217339,0.107884495194909,0.501055320117655,-0.00369944500315849,0.963332322147603,0.0200507237126276
2044,NaN,NaN,NaN,0.105765670739833,0.509401832937712,-0.00394469269673711,0.106523125034654,0.509904622703513,-0.00417985065476563,0.963512965831947,0.0197702781248031
2045,NaN,NaN,NaN,0.103617552432724,0.52207634876886,-0.00501537977961311,0.105261764853538,0.518792303491117,-0.00469318759290837,0.963626317572685,0.0195492516169958
2046,NaN,NaN,NaN,0.102288327995829,0.529769257712796,-0.00572093576336244,0.104144651950615,0.527719406382888,-0.00522119949305525,0.963707585331144,0.0193914800638157
2047,NaN,NaN,NaN,0.102147949470099,0.536963118178539,-0.00584570319666133,0.103200551187344,0.536711694545012,-0.00574824509306386,0.963820049117956,0.0192916075648884
2048,NaN,NaN,NaN,0.101586232842974,0.544953471143582,-0.00615333451259209,0.102441186836031,0.545814686824197,-0.00626275484017146,0.964011756239196,0.0192391818474655
2049,NaN,NaN,NaN,0.102010103934406,0.553445617180969,-0.00676846977564804,0.101866630500938,0.55507759622571,-0.00675447256268791,0.964298602689243,0.0192256256713415
